ID,Parent_ID,Category
10021,0,/Apparel
10178,10021,/Apparel/Apparel Accessories
10937,10178,/Apparel/Apparel Accessories/Bags & Packs
12262,10937,/Apparel/Apparel Accessories/Bags & Packs/Backpacks & Utility Bags
12264,10937,/Apparel/Apparel Accessories/Bags & Packs/Briefcases
12263,10937,/Apparel/Apparel Accessories/Bags & Packs/Handbags & Purses
12265,10937,/Apparel/Apparel Accessories/Bags & Packs/Laptop & Computer Bags
10935,10178,/Apparel/Apparel Accessories/Belts & Suspenders
10938,10178,/Apparel/Apparel Accessories/Billfolds & Wallets
10936,10178,/Apparel/Apparel Accessories/Eyewear
12260,10936,/Apparel/Apparel Accessories/Eyewear/Reading Glasses
12261,10936,/Apparel/Apparel Accessories/Eyewear/Sunglasses
10939,10178,/Apparel/Apparel Accessories/Gloves & Mittens
10942,10178,/Apparel/Apparel Accessories/Hair Accessories
10941,10178,/Apparel/Apparel Accessories/Headwear
12266,10941,/Apparel/Apparel Accessories/Headwear/Hats
12267,10941,/Apparel/Apparel Accessories/Headwear/Headscarves & Bandanas
13701,10178,/Apparel/Apparel Accessories/Key Chains & Key Rings
13409,"1,01,78,10,048",/Apparel/Apparel Accessories/Parasols & Personal Sun Umbrellas
10943,10178,/Apparel/Apparel Accessories/Scarves & Shawls
10940,10178,/Apparel/Apparel Accessories/Ties
10176,10021,/Apparel/Clothing
13780,10176,/Apparel/Clothing/Children's Clothing
11019,"1,37,80,10,235",/Apparel/Clothing/Children's Clothing/Baby & Toddler Clothing
12292,11019,/Apparel/Clothing/Children's Clothing/Baby & Toddler Clothing/Baby & Toddler Shoes
12293,11019,/Apparel/Clothing/Children's Clothing/Baby & Toddler Clothing/Christening Gowns & Suits
12288,11019,/Apparel/Clothing/Children's Clothing/Baby & Toddler Clothing/Newborn Clothing
10924,"1,01,76,13,842",/Apparel/Clothing/Costumes & Costume Rental
10919,10176,/Apparel/Clothing/Culturally-Specific Clothing
10906,10176,/Apparel/Clothing/Custom Clothing
10916,10176,/Apparel/Clothing/Dancewear
10920,10176,/Apparel/Clothing/Formal Wear
12250,"1,09,20,13,779",/Apparel/Clothing/Formal Wear/Bridal Wear
10905,"1,09,20,13,842",/Apparel/Clothing/Formal Wear/Formal Wear Rentals
12252,"1,09,20,10,915",/Apparel/Clothing/Formal Wear/Prom Dresses
12251,10920,/Apparel/Clothing/Formal Wear/Tuxedos & Tuxedo Accessories
13778,10176,/Apparel/Clothing/Men's Clothing
10917,10176,/Apparel/Clothing/Outerwear
13356,10917,/Apparel/Clothing/Outerwear/Coats
13357,"1,09,17,13,355",/Apparel/Clothing/Outerwear/Slickers & Rainwear
12241,10176,"/Apparel/Clothing/Pants, Jeans & Trousers"
10912,10176,/Apparel/Clothing/Petite Clothing
10923,10176,/Apparel/Clothing/Plus Size Clothing
12237,10176,/Apparel/Clothing/Pullover Sweaters & Cardigans
12240,10176,"/Apparel/Clothing/Shirts, Tops & Blouses"
13117,12240,"/Apparel/Clothing/Shirts, Tops & Blouses/Dress Shirts"
13116,12240,"/Apparel/Clothing/Shirts, Tops & Blouses/Jerseys & Knit Shirts"
13315,13116,"/Apparel/Clothing/Shirts, Tops & Blouses/Jerseys & Knit Shirts/T-Shirts"
13118,12240,"/Apparel/Clothing/Shirts, Tops & Blouses/Polo Shirts"
12242,10176,/Apparel/Clothing/Shorts
10925,10176,/Apparel/Clothing/Sleepwear
10921,10176,/Apparel/Clothing/Socks & Hosiery
12243,10176,/Apparel/Clothing/Sport Coats & Jackets
10914,10176,/Apparel/Clothing/Suits & Business Attire
12238,10176,/Apparel/Clothing/Sweatshirts & Hoodies
11917,"10,17,61,01,15,10,652",/Apparel/Clothing/Swimwear
10913,10176,/Apparel/Clothing/Underwear
12246,10913,/Apparel/Clothing/Underwear/Boxers & Briefs
